"Nominee","Party","Home.state","Running.mate","Electoral.vote","Popular.vote","Percentage","year","state","url","margin","electoral_votes_maximum","electoral_winner","state_winner","votes_margin_total"
"Wendell Willkie","Republican","Indiana","Charles L McNary",0,110127,46.78,1940,"New_Hampshire","https://en.wikipedia.org/wiki/1940_United_States_presidential_election_in_New_Hampshire",15165,4,"Franklin D Roosevelt","Franklin D Roosevelt",891866
"Franklin D Roosevelt","Democratic","New York","Harry S Truman",4,119663,52.11,1944,"New_Hampshire","https://en.wikipedia.org/wiki/1944_United_States_presidential_election_in_New_Hampshire",9747,4,"Franklin D Roosevelt","Franklin D Roosevelt",581936
"Thomas E Dewey","Republican","New York","John W Bricker",0,109916,47.87,1944,"New_Hampshire","https://en.wikipedia.org/wiki/1944_United_States_presidential_election_in_New_Hampshire",9747,4,"Franklin D Roosevelt","Franklin D Roosevelt",581936
"Thomas E Dewey","Republican","New York","Earl Warren",4,121299,52.41,1948,"New_Hampshire","https://en.wikipedia.org/wiki/1948_United_States_presidential_election_in_New_Hampshire",13304,4,"Harry S Truman","Thomas E Dewey",111495
"Harry S Truman","Democratic","Missouri","Alben W Barkley",0,107995,46.66,1948,"New_Hampshire","https://en.wikipedia.org/wiki/1948_United_States_presidential_election_in_New_Hampshire",13304,4,"Harry S Truman","Thomas E Dewey",111495
"Dwight D Eisenhower","Republican","New York","Richard Nixon",4,166287,60.92,1952,"New_Hampshire","https://en.wikipedia.org/wiki/1952_United_States_presidential_election_in_New_Hampshire",59624,4,"Dwight D Eisenhower","Dwight D Eisenhower",1488890
"Adlai Stevenson","Democratic","Illinois","John Sparkman",0,106663,39.08,1952,"New_Hampshire","https://en.wikipedia.org/wiki/1952_United_States_presidential_election_in_New_Hampshire",59624,4,"Dwight D Eisenhower","Dwight D Eisenhower",1488890
"Dwight D Eisenhower","Republican","Pennsylvania","Richard Nixon",4,176519,66.11,1956,"New_Hampshire","https://en.wikipedia.org/wiki/1956_United_States_presidential_election_in_New_Hampshire",86155,4,"Dwight D Eisenhower","Dwight D Eisenhower",2349385
"Adlai Stevenson","Democratic","Illinois","Estes Kefauver",0,90364,33.84,1956,"New_Hampshire","https://en.wikipedia.org/wiki/1956_United_States_presidential_election_in_New_Hampshire",86155,4,"Dwight D Eisenhower","Dwight D Eisenhower",2349385
"Richard Nixon","Republican","California","Henry Cabot Lodge Jr",4,157989,53.42,1960,"New_Hampshire","https://en.wikipedia.org/wiki/1960_United_States_presidential_election_in_New_Hampshire",20217,4,"John F Kennedy","Richard Nixon",22724.0000000001
"John F Kennedy","Democratic","Massachusetts","Lyndon B Johnson",0,137772,46.58,1960,"New_Hampshire","https://en.wikipedia.org/wiki/1960_United_States_presidential_election_in_New_Hampshire",20217,4,"John F Kennedy","Richard Nixon",22724.0000000001
"Lyndon B Johnson","Democratic","Texas","Hubert Humphrey",4,184064,63.89,1964,"New_Hampshire","https://en.wikipedia.org/wiki/1964_United_States_presidential_election_in_New_Hampshire",80035,4,"Lyndon B Johnson","Lyndon B Johnson",4118457
"Barry Goldwater","Republican","Arizona","William E Miller",0,104029,36.11,1964,"New_Hampshire","https://en.wikipedia.org/wiki/1964_United_States_presidential_election_in_New_Hampshire",80035,4,"Lyndon B Johnson","Lyndon B Johnson",4118457
"Richard Nixon","Republican","New York","Spiro Agnew",4,154903,52.1,1968,"New_Hampshire","https://en.wikipedia.org/wiki/1968_United_States_presidential_election_in_New_Hampshire",24314,4,"Richard Nixon","Richard Nixon",266590
"Hubert Humphrey","Democratic","Minnesota","Edmund Muskie",0,130589,43.93,1968,"New_Hampshire","https://en.wikipedia.org/wiki/1968_United_States_presidential_election_in_New_Hampshire",24314,4,"Richard Nixon","Richard Nixon",266590
"Richard Nixon","Republican","California","Spiro Agnew",4,213724,63.98,1972,"New_Hampshire","https://en.wikipedia.org/wiki/1972_United_States_presidential_election_in_New_Hampshire",97289,4,"Richard Nixon","Richard Nixon",6349532
"George McGovern","Democratic","South Dakota","Sargent Shriver",0,116435,34.85,1972,"New_Hampshire","https://en.wikipedia.org/wiki/1972_United_States_presidential_election_in_New_Hampshire",97289,4,"Richard Nixon","Richard Nixon",6349532
"Gerald Ford","Republican","Michigan","Bob Dole",4,185935,54.75,1976,"New_Hampshire","https://en.wikipedia.org/wiki/1976_United_States_presidential_election_in_New_Hampshire",38300,4,"Jimmy Carter","Gerald Ford",45716
"Jimmy Carter","Democratic","Georgia","Walter Mondale",0,147635,43.47,1976,"New_Hampshire","https://en.wikipedia.org/wiki/1976_United_States_presidential_election_in_New_Hampshire",38300,4,"Jimmy Carter","Gerald Ford",45716
"Ronald Reagan","Republican","California","George H W Bush",4,221705,57.74,1980,"New_Hampshire","https://en.wikipedia.org/wiki/1980_United_States_presidential_election_in_New_Hampshire",112841,4,"Ronald Reagan","Ronald Reagan",1462353
"Jimmy Carter","Democratic","Georgia","Walter Mondale",0,108864,28.35,1980,"New_Hampshire","https://en.wikipedia.org/wiki/1980_United_States_presidential_election_in_New_Hampshire",112841,4,"Ronald Reagan","Ronald Reagan",1462353
"John B Anderson","Independent","Illinois","Patrick Lucey",0,49693,12.94,1980,"New_Hampshire","https://en.wikipedia.org/wiki/1980_United_States_presidential_election_in_New_Hampshire",112841,4,"Ronald Reagan","Ronald Reagan",1462353
"Ronald Reagan","Republican","California","George H W Bush",4,267051,68.66,1984,"New_Hampshire","https://en.wikipedia.org/wiki/1984_United_States_presidential_election_in_New_Hampshire",146656,4,"Ronald Reagan","Ronald Reagan",5351583
"Walter Mondale","Democratic","Minnesota","Geraldine Ferraro",0,120395,30.95,1984,"New_Hampshire","https://en.wikipedia.org/wiki/1984_United_States_presidential_election_in_New_Hampshire",146656,4,"Ronald Reagan","Ronald Reagan",5351583
"George H W Bush","Republican","Texas","Dan Quayle",4,281537,62.49,1988,"New_Hampshire","https://en.wikipedia.org/wiki/1988_United_States_presidential_election_in_New_Hampshire",117841,4,"George H W Bush","George H W Bush",1098368
"Michael Dukakis","Democratic","Massachusetts","Lloyd Bentsen",0,163696,36.33,1988,"New_Hampshire","https://en.wikipedia.org/wiki/1988_United_States_presidential_election_in_New_Hampshire",117841,4,"George H W Bush","George H W Bush",1098368
"Bill Clinton","Democratic","Arkansas","Al Gore",4,209040,38.91,1992,"New_Hampshire","https://en.wikipedia.org/wiki/1992_United_States_presidential_election_in_New_Hampshire",6556,4,"Bill Clinton","Bill Clinton",569655
"George H W Bush","Republican","Texas","Dan Quayle",0,202484,37.69,1992,"New_Hampshire","https://en.wikipedia.org/wiki/1992_United_States_presidential_election_in_New_Hampshire",6556,4,"Bill Clinton","Bill Clinton",569655
"Ross Perot","Independent","Texas","James Stockdale",0,121337,22.59,1992,"New_Hampshire","https://en.wikipedia.org/wiki/1992_United_States_presidential_election_in_New_Hampshire",6556,4,"Bill Clinton","Bill Clinton",569655
"Bill Clinton","Democratic","Arkansas","Al Gore",4,246214,49.32,1996,"New_Hampshire","https://en.wikipedia.org/wiki/1996_United_States_presidential_election_in_New_Hampshire",49682,4,"Bill Clinton","Bill Clinton",1151013
"Bob Dole","Republican","Kansas","Jack Kemp",0,196532,39.37,1996,"New_Hampshire","https://en.wikipedia.org/wiki/1996_United_States_presidential_election_in_New_Hampshire",49682,4,"Bill Clinton","Bill Clinton",1151013
"Ross Perot","Reform","Texas","Pat Choate",0,48390,9.69,1996,"New_Hampshire","https://en.wikipedia.org/wiki/1996_United_States_presidential_election_in_New_Hampshire",49682,4,"Bill Clinton","Bill Clinton",1151013
"George W Bush","Republican","Texas","Dick Cheney",4,273559,48.07,2000,"New_Hampshire","https://en.wikipedia.org/wiki/2000_United_States_presidential_election_in_New_Hampshire",7211,4,"George W Bush","George W Bush",537
"Al Gore","Democratic","Tennessee","Joe Lieberman",0,266348,46.8,2000,"New_Hampshire","https://en.wikipedia.org/wiki/2000_United_States_presidential_election_in_New_Hampshire",7211,4,"George W Bush","George W Bush",537
"John Kerry","Democratic","Massachusetts","John Edwards",4,340511,50.24,2004,"New_Hampshire","https://en.wikipedia.org/wiki/2004_United_States_presidential_election_in_New_Hampshire",9274,4,"George W Bush","John Kerry",115570
"George W Bush","Republican","Texas","Dick Cheney",0,331237,48.87,2004,"New_Hampshire","https://en.wikipedia.org/wiki/2004_United_States_presidential_election_in_New_Hampshire",9274,4,"George W Bush","John Kerry",115570
"Barack Obama","Democratic","Illinois","Joe Biden",4,384826,54.38,2008,"New_Hampshire","https://en.wikipedia.org/wiki/2008_United_States_presidential_election_in_New_Hampshire",68292,4,"Barack Obama","Barack Obama",990320
"John McCain","Republican","Arizona","Sarah Palin",0,316534,44.73,2008,"New_Hampshire","https://en.wikipedia.org/wiki/2008_United_States_presidential_election_in_New_Hampshire",68292,4,"Barack Obama","Barack Obama",990320
"Barack Obama","Democratic","Illinois","Joe Biden",4,369561,51.98,2012,"New_Hampshire","https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_New_Hampshire",39643,4,"Barack Obama","Barack Obama",429522
"Mitt Romney","Republican","Massachusetts","Paul Ryan",0,329918,46.4,2012,"New_Hampshire","https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_New_Hampshire",39643,4,"Barack Obama","Barack Obama",429522
"Hillary Clinton","Democratic","New York","Tim Kaine",4,348526,47.62,2016,"New_Hampshire","https://en.wikipedia.org/wiki/2016_United_States_presidential_election_in_New_Hampshire",2736,4,"Donald Trump","Hillary Clinton",77744
"Donald Trump","Republican","New York","Mike Pence",0,345790,47.25,2016,"New_Hampshire","https://en.wikipedia.org/wiki/2016_United_States_presidential_election_in_New_Hampshire",2736,4,"Donald Trump","Hillary Clinton",77744
"Warren G Harding","Republican","Ohio","Calvin Coolidge",14,611541,67.65,1920,"New_Jersey","https://en.wikipedia.org/wiki/1920_United_States_presidential_election_in_New_Jersey",354654,14,"Warren G Harding","Warren G Harding",1291746
"James M Cox","Democratic","Ohio","Franklin D Roosevelt",0,256887,28.42,1920,"New_Jersey","https://en.wikipedia.org/wiki/1920_United_States_presidential_election_in_New_Jersey",354654,14,"Warren G Harding","Warren G Harding",1291746
"Calvin Coolidge","Republican","Massachusetts","Charles G Dawes",14,675162,62.17,1924,"New_Jersey","https://en.wikipedia.org/wiki/1924_United_States_presidential_election_in_New_Jersey",377419,14,"Calvin Coolidge","Calvin Coolidge",775520
"John W Davis","Democratic","West Virginia","Charles W Bryan",0,297743,27.41,1924,"New_Jersey","https://en.wikipedia.org/wiki/1924_United_States_presidential_election_in_New_Jersey",377419,14,"Calvin Coolidge","Calvin Coolidge",775520
"Robert M La Follette","Progressive","Wisconsin","Burton K Wheeler",0,108901,10.03,1924,"New_Jersey","https://en.wikipedia.org/wiki/1924_United_States_presidential_election_in_New_Jersey",377419,14,"Calvin Coolidge","Calvin Coolidge",775520
"Herbert Hoover","Republican","California","Charles Curtis",14,926050,59.77,1928,"New_Jersey","https://en.wikipedia.org/wiki/1928_United_States_presidential_election_in_New_Jersey",309533,14,"Herbert Hoover","Herbert Hoover",866640
"Al Smith","Democratic","New York","Joseph T Robinson",0,616517,39.79,1928,"New_Jersey","https://en.wikipedia.org/wiki/1928_United_States_presidential_election_in_New_Jersey",309533,14,"Herbert Hoover","Herbert Hoover",866640
"Franklin D Roosevelt","Democratic","New York","John N Garner",16,806630,49.48,1932,"New_Jersey","https://en.wikipedia.org/wiki/1932_United_States_presidential_election_in_New_Jersey",30946,16,"Franklin D Roosevelt","Franklin D Roosevelt",1801018
"Herbert Hoover","Republican","California","Charles Curtis",0,775684,47.59,1932,"New_Jersey","https://en.wikipedia.org/wiki/1932_United_States_presidential_election_in_New_Jersey",30946,16,"Franklin D Roosevelt","Franklin D Roosevelt",1801018
"Franklin D Roosevelt","Democratic","New York","John N Garner",16,1083850,59.54,1936,"New_Jersey","https://en.wikipedia.org/wiki/1936_United_States_presidential_election_in_New_Jersey",363528,16,"Franklin D Roosevelt","Franklin D Roosevelt",3834458
"Alf Landon","Republican","Kansas","Frank Knox",0,720322,39.57,1936,"New_Jersey","https://en.wikipedia.org/wiki/1936_United_States_presidential_election_in_New_Jersey",363528,16,"Franklin D Roosevelt","Franklin D Roosevelt",3834458
"Franklin D Roosevelt","Democratic","New York","Henry A Wallace",16,1016808,51.55,1940,"New_Jersey","https://en.wikipedia.org/wiki/1940_United_States_presidential_election_in_New_Jersey",71333,16,"Franklin D Roosevelt","Franklin D Roosevelt",891866
"Wendell Willkie","Republican","Indiana","Charles L McNary",0,945475,47.93,1940,"New_Jersey","https://en.wikipedia.org/wiki/1940_United_States_presidential_election_in_New_Jersey",71333,16,"Franklin D Roosevelt","Franklin D Roosevelt",891866
"Franklin D Roosevelt","Democratic","New York","Harry S Truman",16,987874,50.31,1944,"New_Jersey","https://en.wikipedia.org/wiki/1944_United_States_presidential_election_in_New_Jersey",26539,16,"Franklin D Roosevelt","Franklin D Roosevelt",581936
"Thomas E Dewey","Republican","New York","John W Bricker",0,961335,48.95,1944,"New_Jersey","https://en.wikipedia.org/wiki/1944_United_States_presidential_election_in_New_Jersey",26539,16,"Franklin D Roosevelt","Franklin D Roosevelt",581936
"Thomas E Dewey","Republican","New York","Earl Warren",16,981124,50.33,1948,"New_Jersey","https://en.wikipedia.org/wiki/1948_United_States_presidential_election_in_New_Jersey",85669,16,"Harry S Truman","Thomas E Dewey",111495
"Harry S Truman","Democratic","Missouri","Alben W Barkley",0,895455,45.93,1948,"New_Jersey","https://en.wikipedia.org/wiki/1948_United_States_presidential_election_in_New_Jersey",85669,16,"Harry S Truman","Thomas E Dewey",111495
"Dwight D Eisenhower","Republican","New York","Richard Nixon",16,1374613,56.81,1952,"New_Jersey","https://en.wikipedia.org/wiki/1952_United_States_presidential_election_in_New_Jersey",358711,16,"Dwight D Eisenhower","Dwight D Eisenhower",1488890
"Adlai Stevenson","Democratic","Illinois","John Sparkman",0,1015902,41.99,1952,"New_Jersey","https://en.wikipedia.org/wiki/1952_United_States_presidential_election_in_New_Jersey",358711,16,"Dwight D Eisenhower","Dwight D Eisenhower",1488890
"Dwight D Eisenhower","Republican","Pennsylvania","Richard Nixon",16,1606942,64.68,1956,"New_Jersey","https://en.wikipedia.org/wiki/1956_United_States_presidential_election_in_New_Jersey",756605,16,"Dwight D Eisenhower","Dwight D Eisenhower",2349385
"Adlai Stevenson","Democratic","Illinois","Estes Kefauver",0,850337,34.23,1956,"New_Jersey","https://en.wikipedia.org/wiki/1956_United_States_presidential_election_in_New_Jersey",756605,16,"Dwight D Eisenhower","Dwight D Eisenhower",2349385
"John F Kennedy","Democratic","Massachusetts","Lyndon B Johnson",16,1385415,49.96,1960,"New_Jersey","https://en.wikipedia.org/wiki/1960_United_States_presidential_election_in_New_Jersey",22091,16,"John F Kennedy","John F Kennedy",22724.0000000001
"Richard Nixon","Republican","California","Henry Cabot Lodge Jr",0,1363324,49.16,1960,"New_Jersey","https://en.wikipedia.org/wiki/1960_United_States_presidential_election_in_New_Jersey",22091,16,"John F Kennedy","John F Kennedy",22724.0000000001
"Lyndon B Johnson","Democratic","Texas","Hubert Humphrey",17,1867671,65.61,1964,"New_Jersey","https://en.wikipedia.org/wiki/1964_United_States_presidential_election_in_New_Jersey",903828,17,"Lyndon B Johnson","Lyndon B Johnson",4118457
"Barry Goldwater","Republican","Arizona","William E Miller",0,963843,33.86,1964,"New_Jersey","https://en.wikipedia.org/wiki/1964_United_States_presidential_election_in_New_Jersey",903828,17,"Lyndon B Johnson","Lyndon B Johnson",4118457
"Richard Nixon","Republican","New York","Spiro Agnew",17,1325467,46.1,1968,"New_Jersey","https://en.wikipedia.org/wiki/1968_United_States_presidential_election_in_New_Jersey",61261,17,"Richard Nixon","Richard Nixon",266590
"Hubert Humphrey","Democratic","Minnesota","Edmund Muskie",0,1264206,43.97,1968,"New_Jersey","https://en.wikipedia.org/wiki/1968_United_States_presidential_election_in_New_Jersey",61261,17,"Richard Nixon","Richard Nixon",266590
"George Wallace","American Independent","Alabama","Marvin Griffin",0,262187,9.12,1968,"New_Jersey","https://en.wikipedia.org/wiki/1968_United_States_presidential_election_in_New_Jersey",61261,17,"Richard Nixon","Richard Nixon",266590
"Richard Nixon","Republican","California","Spiro Agnew",17,1845502,61.57,1972,"New_Jersey","https://en.wikipedia.org/wiki/1972_United_States_presidential_election_in_New_Jersey",743291,17,"Richard Nixon","Richard Nixon",6349532
"George McGovern","Democratic","South Dakota","Sargent Shriver replacing Thomas Eagleton",0,1102211,36.77,1972,"New_Jersey","https://en.wikipedia.org/wiki/1972_United_States_presidential_election_in_New_Jersey",743291,17,"Richard Nixon","Richard Nixon",6349532
"Gerald Ford","Republican","Michigan","Bob Dole",17,1509688,50.08,1976,"New_Jersey","https://en.wikipedia.org/wiki/1976_United_States_presidential_election_in_New_Jersey",65035,17,"Jimmy Carter","Gerald Ford",45716
